"","CH","sex","Background","variable","value"
"826",762,"Male","West","Height",191
"827",328,"Male","West","Height",185
"828",763,"Male","East","Height",178
"829",359,"Male","West","Height",188
"830",378,"Male","East","Height",183
"831",773,"Male","West","Height",185
"832",689,"Male","West","Height",180
"833",159,"Male","West","Height",185
"834",775,"Male","West","Height",188
"835",602,"Male","West","Height",175
"836",390,"Male","West","Height",183
"837",641,"Male","West","Height",188
"838",684,"Male","West","Height",196
"839",676,"Male","West","Height",185
"840",795,"Male","East","Height",173
"841",796,"Male","West","Height",180
"842",610,"Male","East","Height",175
"843",261,"Male","East","Height",180
"844",356,"Male","West","Height",183
"845",804,"Male","West","Height",188
"846",804,"Male","West","Height",183
"847",531,"Male","West","Height",193
"848",640,"Male","West","Height",180
"849",803,"Male","East","Height",183
"850",756,"Male","West","Height",183
"851",661,"Male","West","Height",180
"852",20,"Male","West","Height",185
"853",387,"Male","West","Height",188
"854",823,"Male","East","Height",180
"855",618,"Male","West","Height",180
"856",202,"Male","West","Height",180
"857",777,"Male","West","Height",183
"858",466,"Male","West","Height",193
"859",742,"Male","West","Height",183
"860",829,"Male","West","Height",188
"861",161,"Male","West","Height",203
"862",445,"Male","West","Height",188
"863",825,"Male","East","Height",198
"864",706,"Male","West","Height",191
"865",743,"Male","West","Height",185
"866",837,"Male","West","Height",183
"867",9,"Male","West","Height",183
"868",279,"Male","West","Height",180
"869",14,"Male","West","Height",203
